id,opportunity,sponsor,channel,sourceUrl,datePosted,deadline,awardType,otisMatch,fitScore,urgency,status,nextAction,lastChecked
auto-261a9376ddb2,DSIP Tutorials,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.dodsbirsttr.mil/submissions/learning-support/training-materials,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-4939e64b28af,DOW SBIR/STTR,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.defensesbirsttr.mil/SBIR-STTR/Program/,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-036490386ac9,SBA,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.sbir.gov/,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-4f2ed84691fc,SBIR/STTR Overview,AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/sbir-sttr-overview/,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-52bec39c1a62,Sequential Opportunities,AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/sequential-opportunities/,,,Not published,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b210fa6aaaf2,Phase III,AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/phase-iii/,,,Not published,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-68480c3a54eb,Webinars,AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/previously-recorded-webinars/,,,Not published,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-a1442f9c1303,Portfolio,AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/portfolio/,,,Not published,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-2bd65a23c3f1,Risk-Based Analysis,AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/risk-based-analysis/,,,Not published,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b9a135f54c50,Technical and Business Assistance (TABA),AFWERX,AFWERX,https://afwerx.com/divisions/sbir-sttr/technical-and-business-assistance-taba/,,,Not published,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-50cbedd9ca79,AFWERX Challenge,AFWERX,AFWERX,https://afwerxchallenge.com,,,Not published,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-df8e86308b4e,2026 LOA W.I.S.E. Symposium: Warfighter Series,AFWERX,AFWERX,https://afwerx.com/events-calendar/logistics-officer-association-loa-w-i-s-e-symposium-warfighter-series/,,,RFI / market research,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-0283f67ca123,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/cdn-cgi/content?id=BR.upQT94vXKH7nAvZqoKLXWSkhtDaA4FyypQEHSrSc-1787036365.7293253-1.2.1.1-G19ikQsgFCJk.4zV37gIfz8Tno3fK7cnXeSTFJ17lL.NUhGJNk7omVEneBMaFCg7,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-ad129ffc5709,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/#default,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-d3f3a4fcd68e,Overview,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/overview.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-448da7e6d31c,FAQs / Navy SBIR,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/faqs.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-99f5f538e27d,Description,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/overview2.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-44492a1013d2,FAQs / All SBIR,Navy SBIR/STTR,Navy SBIR/STTR,https://www.sbir.gov/faq,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-fcc17813ac32,Phase II,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/phaseii.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-2f1373396193,SBIR Tutorial,Navy SBIR/STTR,Navy SBIR/STTR,https://www.sbir.gov/tutorials,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-e72e7eb46b81,Eligibility,Navy SBIR/STTR,Navy SBIR/STTR,https://www.sbir.gov/faq/eligibility-requirements,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-c2b333062d2f,Getting Started,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/gettingstarted.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-6735a77099c9,Policy / Law,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/policy.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-0c4493f15b82,Getting Paid,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/paid.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-c503d7589128,"Fraud, Waste, and Abuse",Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/fwa.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-55e0e1c890d6,Current DoW SBIR/STTR BAAs,Navy SBIR/STTR,Navy SBIR/STTR,https://www.dodsbirsttr.mil/submissions/solicitation-documents/active-solicitations,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-e9a03e1395ad,Current Navy SBIR/STTR BAAs,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/solicitations.htm,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-ca77e877d85b,Previous Navy SBIR BAAs,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/previous.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-388f497cf6d3,Forms/Templates,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/links_forms.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-6612e698bb39,Navy Catapult,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/programs/catapult.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-22f8d54fb072,Navy SBIR Transition Program (STP),Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/programs/navystp.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-f020b5e20b4f,SBIR Experimentation Cell (DON SEC),Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/sec/,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-a4fbe679c222,NAVY Launch,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/programs/navylaunch.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-38b8668cc829,Navy Awards & Success Stories Database,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbirsearch.com/,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-84b56ccd95d6,Presentations / Tutorials,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/presentations.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b72043b5fe99,Reference Material / Manuals,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/reference.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-d7e42c438f06,Success Stories,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/success,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-2316acf1a12f,Cybersecurity/CUI,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/cyber.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-685beb090620,Transition / Commercialization Resources,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/trans-com.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-812384eada35,Important SBIR Agency Websites,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/ex_links.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-cde9bc12b4e1,Contacts,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/poc.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-f5ba50701010,Help,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/help.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-eff12999c75e,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://twitter.com/donsbir,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-0da865914f43,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.linkedin.com/company/donsbir,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-ce8a1e27e244,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/success/docs/Programs_Management_Anylitics-26.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-81ad9bbb3556,Events Calendar,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/events.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-0709d1d08094,Selections,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/selections.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-0be67a8d2573,Submission,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/submission.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-f11a6ace6ec7,DoW SBIR (DSIP),Navy SBIR/STTR,Navy SBIR/STTR,https://www.dodsbirsttr.mil/,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-9d01ea831d25,SBIR.GOV,Navy SBIR/STTR,Navy SBIR/STTR,https://sbir.gov,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-ecf1af594489,Navy FY-26 Release 5 SBIR/STTR/CSO Instructions & Topics,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/topics26_5.htm,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-25T13:38:54Z
auto-4160aad3bd6c,(DON) SBIR FY-26 Release 4 topics,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/topics26_4.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-25T13:38:54Z
auto-4e5450612182,Here,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/noh26.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-850a857e595d,View FY 26 Release 1 Selections,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/sel-awd/26_01-selections.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-ee3590938891,Visit Navy Launch Website,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/programs/navylaunch.htm#bootreg,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-63ff4969e133,View/Download Your Copy Here,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/docs/Transitions_Spring-2026.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-9224bb9b92c4,View SBIR News & Announcements Archive,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/archive1.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-5e9ddbbdbaf6,- Top -,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/#top,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b843a08ec80e,Privacy Policy,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/privacy.htm,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-737ff3e25ba7,Navy Office of Small Business Programs,Navy SBIR/STTR,Navy SBIR/STTR,https://www.secnav.navy.mil/smallbusiness/Pages/sbir-sttr.aspx,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-cc8061f89dd2,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/docs/Navy-SBIR-PR-Flyer-03-09-26.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-65438fcec2d5,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/docs/Navy-STP-Annual_Report-23_24.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-aeeab9a5774b,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/docs/Understanding_Transition-10-27-24.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-67195f3c41c4,Navy SBIR/STTR candidate,Navy SBIR/STTR,Navy SBIR/STTR,https://www.navysbir.com/docs/DON-SBIR_STTR_Phase-III_Guidebook_V2-2020.pdf,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-25T13:38:54Z
auto-9a92dd3dea8c,Skip to main content,SBIR.gov Participating Agencies,Federal SBIR/STTR,https://www.sbir.gov/participating-agencies#main-content,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-bcf17124119b,Contact Us,SBIR.gov Participating Agencies,Federal SBIR/STTR,https://www.sbir.gov/contact-us,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-a70e9a6c9441,Login,SBIR.gov Participating Agencies,Federal SBIR/STTR,https://www.sbir.gov/participating-agencies#dashboard-login-modal,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-ca20f86a6897,Register,SBIR.gov Participating Agencies,Federal SBIR/STTR,https://app.www.sbir.gov/company-registration/overview,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
